Protein,Order,SampleName,LabRep,LabBlock,MaltPlant,MaltRep,MaltTime,malttime,abundance,abundance.sc,abundance.scOut
HORVU2Hr1G122280.1,3,aBP11,2,1,2,1,133.5,133.5,442865.8607,442.8658607,442.8658607
HORVU2Hr1G125200.3,3,aBP11,2,1,2,1,133.5,133.5,6218.37974,6.21837974,6.21837974
HORVU3Hr1G002780.8,3,aBP11,2,1,2,1,133.5,133.5,14020.77693,14.02077693,14.02077693
HORVU3Hr1G003050.7,3,aBP11,2,1,2,1,133.5,133.5,29254.83019,29.25483019,29.25483019
HORVU3Hr1G004140.1,3,aBP11,2,1,2,1,133.5,133.5,55174.94027,55.17494027,55.17494027
HORVU3Hr1G004300.1,3,aBP11,2,1,2,1,133.5,133.5,792.4041171,0.792404117,0.792404117
HORVU3Hr1G006530.1,3,aBP11,2,1,2,1,133.5,133.5,173874.0329,173.8740329,173.8740329
HORVU3Hr1G007500.4,3,aBP11,2,1,2,1,133.5,133.5,12023.35421,12.02335421,12.02335421
HORVU3Hr1G007500.6,3,aBP11,2,1,2,1,133.5,133.5,10544.35263,10.54435263,10.54435263
HORVU3Hr1G010530.7,3,aBP11,2,1,2,1,133.5,133.5,13704.25443,13.70425443,13.70425443
HORVU3Hr1G013060.1,3,aBP11,2,1,2,1,133.5,133.5,623544.5795,623.5445795,623.5445795
HORVU3Hr1G013350.1,3,aBP11,2,1,2,1,133.5,133.5,239920.8946,239.9208946,239.9208946
HORVU3Hr1G013680.1,3,aBP11,2,1,2,1,133.5,133.5,893134.2287,893.1342287,893.1342287
HORVU3Hr1G013880.7,3,aBP11,2,1,2,1,133.5,133.5,4339.059171,4.339059171,4.339059171
HORVU3Hr1G014120.1,3,aBP11,2,1,2,1,133.5,133.5,37576.85485,37.57685485,37.57685485
HORVU3Hr1G014730.5,3,aBP11,2,1,2,1,133.5,133.5,28392.42171,28.39242171,28.39242171
HORVU3Hr1G015190.4,3,aBP11,2,1,2,1,133.5,133.5,29566.37188,29.56637188,29.56637188
HORVU3Hr1G017700.4,3,aBP11,2,1,2,1,133.5,133.5,19855.89184,19.85589184,19.85589184
HORVU3Hr1G019540.5,3,aBP11,2,1,2,1,133.5,133.5,11763.0925,11.7630925,11.7630925
HORVU3Hr1G020230.3,3,aBP11,2,1,2,1,133.5,133.5,5513.423599,5.513423599,5.513423599
HORVU3Hr1G020250.8,3,aBP11,2,1,2,1,133.5,133.5,12716.41724,12.71641724,12.71641724
HORVU3Hr1G020390.1,3,aBP11,2,1,2,1,133.5,133.5,299.5367011,0.299536701,0.299536701
HORVU3Hr1G020520.2,3,aBP11,2,1,2,1,133.5,133.5,230339.5941,230.3395941,230.3395941
HORVU3Hr1G021700.2,3,aBP11,2,1,2,1,133.5,133.5,1847.844781,1.847844781,1.847844781
HORVU3Hr1G026880.2,3,aBP11,2,1,2,1,133.5,133.5,32123.68955,32.12368955,32.12368955
HORVU3Hr1G028990.1,3,aBP11,2,1,2,1,133.5,133.5,1338.335009,1.338335009,1.338335009
HORVU3Hr1G030770.8,3,aBP11,2,1,2,1,133.5,133.5,1866.775536,1.866775536,1.866775536
HORVU3Hr1G030970.1,3,aBP11,2,1,2,1,133.5,133.5,7269.99705,7.26999705,7.26999705
HORVU3Hr1G033520.2,3,aBP11,2,1,2,1,133.5,133.5,4587.612735,4.587612735,4.587612735
